Feature	Module	Term
BLK	cluster_127	['GO:0030889']
BTK	cluster_127	['GO:0030889']
CKAP4	cluster_127	['GO:0035577']
LMTK2	cluster_127	['GO:0032515']
PPP1R14A	cluster_127	['GO:0032515']
VAPA	cluster_127	['GO:0035577']
HNRNPU	cluster_128	['GO:0003725']
TLR3	cluster_128	['GO:0003725']
ERBB4	cluster_129	['GO:0000976']
SUV39H1	cluster_129	['GO:0000976']
APH1A	cluster_13	['GO:0016485', 'GO:0031293']
APH1B	cluster_13	['GO:0016485', 'GO:0031293']
ASCL1	cluster_13	['GO:0050767']
CACNB2	cluster_13	['GO:0007601']
CDC14B	cluster_13	['GO:0035335']
DLL1	cluster_13	['GO:0050767']
DUSP19	cluster_13	['GO:0035335']
GJC1	cluster_13	['GO:0007601']
LRP6	cluster_13	['GO:0071542']
OGT	cluster_13	['GO:0016485']
OTX2	cluster_13	['GO:0071542']
PTPRR	cluster_13	['GO:0035335']
RABGGTB	cluster_13	['GO:0007601']
TNS2	cluster_13	['GO:0035335']
ACLY	cluster_130	['GO:0035578']
ACTR2	cluster_130	['GO:0035578']
ADAM10	cluster_130	['GO:0007162', 'GO:0010820']
DAB1	cluster_130	['GO:0007162', 'GO:0046426']
OXSR1	cluster_130	['GO:0010820']
PTPRD	cluster_130	['GO:0046426']
JAK1	cluster_131	['GO:0019903']
VRK3	cluster_131	['GO:0019903']
ACVR1	cluster_132	['GO:0030501', 'GO:0032924', 'GO:2001237']
ATP2B1	cluster_132	['GO:0030501']
CD14	cluster_132	['GO:0002755', 'GO:0032757']
PARK7	cluster_132	['GO:0030073', 'GO:0032757', 'GO:2001237']
SMAD2	cluster_132	['GO:0030073', 'GO:0032924']
TLR2	cluster_132	['GO:0002755', 'GO:0032757']
BDKRB1	cluster_134	['GO:0051281']
DRD1	cluster_134	['GO:0051281']
SMAD4	cluster_134	['GO:0051571']
WDR5	cluster_134	['GO:0051571']
ANGPT1	cluster_135	['GO:0043122', 'GO:0043524']
LIME1	cluster_135	['GO:0043122']
NAIP	cluster_135	['GO:0043524']
ACO1	cluster_137	['GO:0005783']
CTNNA1	cluster_137	['GO:0042475']
ERAP1	cluster_137	['GO:0005783']
HAND1	cluster_137	['GO:0001947', 'GO:0042475']
IFT57	cluster_137	['GO:0001947']
NHLRC1	cluster_137	['GO:0005783']
STOM	cluster_137	['GO:0005783']
NOD2	cluster_138	['GO:0050830']
STAB2	cluster_138	['GO:0050830']
CFLAR	cluster_139	['GO:0071392']
FBXW7	cluster_139	['GO:0055088']
GABRB2	cluster_139	['GO:1902476']
SLC12A1	cluster_139	['GO:1902476']
SSTR2	cluster_139	['GO:0071392']
USF1	cluster_139	['GO:0055088']
BCCIP	cluster_14	['GO:0000079', 'GO:0005814']
BDKRB2	cluster_14	['GO:0033137']
CCNA2	cluster_14	['GO:0000079']
CDK5R1	cluster_14	['GO:0000079']
CDKN3	cluster_14	['GO:0000079']
CEP164	cluster_14	['GO:0005814']
CETN3	cluster_14	['GO:0005814']
KIF3A	cluster_14	['GO:0005814']
RASSF2	cluster_14	['GO:0033137']
SMAD7	cluster_14	['GO:0033137']
EEF1A1	cluster_140	['GO:0000049']
TERT	cluster_140	['GO:0000049']
CA2	cluster_141	['GO:0015701', 'GO:0070062']
CD47	cluster_141	['GO:0070062']
COASY	cluster_141	['GO:0070062']
HBA1	cluster_141	['GO:0015701', 'GO:0070062']
NCOA3	cluster_141	['GO:0046966', 'GO:0070062']
RRAS	cluster_141	['GO:0070062']
SERPINB9	cluster_141	['GO:0004867', 'GO:0010951', 'GO:0070062']
SERPIND1	cluster_141	['GO:0004867', 'GO:0010951', 'GO:0070062']
SYTL1	cluster_141	['GO:0070062']
TAF11	cluster_141	['GO:0046966']
ITGA2	cluster_143	['GO:0014911', 'GO:0048041', 'GO:0048661']
PDGFB	cluster_143	['GO:0014911', 'GO:0048661']
SORBS1	cluster_143	['GO:0048041']
CASR	cluster_144	['GO:0045907']
HRH1	cluster_144	['GO:0045907']
CLIC5	cluster_146	['GO:0034765']
CYBB	cluster_146	['GO:0002479', 'GO:0034765']
IKBKB	cluster_146	['GO:0002479']
ATG7	cluster_149	['GO:0018215']
CLASP2	cluster_149	['GO:0005874']
DCX	cluster_149	['GO:0005874']
DYNC1I2	cluster_149	['GO:0005874']
DYNC1LI1	cluster_149	['GO:0005874']
EIF3F	cluster_149	['GO:0018215']
HIF1AN	cluster_149	['GO:0018215']
KLC2	cluster_149	['GO:0005874']
MOS	cluster_149	['GO:0000186']
NDRG1	cluster_149	['GO:0005874']
NGF	cluster_149	['GO:0000186']
PDIA5	cluster_149	['GO:0018215']
PSEN1	cluster_149	['GO:0000186']
RAF1	cluster_149	['GO:0000186']
ROR2	cluster_149	['GO:0005874']
STAMBP	cluster_149	['GO:0018215']
TTL	cluster_149	['GO:0018215']
AKAP11	cluster_15	['GO:0008157']
FGF2	cluster_15	['GO:0014068']
IL18	cluster_15	['GO:0014068']
PHACTR3	cluster_15	['GO:0008157']
PIK3AP1	cluster_15	['GO:0014068']
