Feature	Module	Term
RAPGEF4	cluster_49	['GO:0031267']
RNF43	cluster_49	['GO:0005109']
RYK	cluster_49	['GO:0005109']
WNT3A	cluster_49	['GO:0005109', 'GO:1904886']
CSF1R	cluster_50	['GO:0071345']
HCLS1	cluster_50	['GO:0071345']
POU4F2	cluster_50	['GO:0071345']
EZR	cluster_52	['GO:0050714']
TGFB3	cluster_52	['GO:0050714']
CDYL	cluster_55	['GO:0005694']
MBD1	cluster_55	['GO:0005694']
C1D	cluster_56	['GO:0006364']
EPHA7	cluster_56	['GO:0030425']
GJA1	cluster_56	['GO:0048812']
GNAO1	cluster_56	['GO:0030425']
NTF3	cluster_56	['GO:0030425', 'GO:0048812']
RPS6	cluster_56	['GO:0006364', 'GO:0030425']
C5AR1	cluster_58	['GO:0050679']
FGF7	cluster_58	['GO:0050679']
TGFA	cluster_58	['GO:0005154', 'GO:0050679']
VAV3	cluster_58	['GO:0005154']
BMI1	cluster_59	['GO:0048146', 'GO:0070317']
CBX5	cluster_59	['GO:0070317']
CDK6	cluster_59	['GO:0048146']
EFNB2	cluster_6	['GO:0002042']
LRP1	cluster_6	['GO:0032092']
MFNG	cluster_6	['GO:0032092']
MYO5A	cluster_6	['GO:0005770']
RBM39	cluster_6	['GO:0006396']
SLA2	cluster_6	['GO:0005770']
SLIT2	cluster_6	['GO:0002042']
SYNCRIP	cluster_6	['GO:0006396']
TCF7L2	cluster_6	['GO:0032092']
UVRAG	cluster_6	['GO:0005770']
MAPK7	cluster_60	['GO:2001240']
SIAH2	cluster_60	['GO:0043154']
TNF	cluster_60	['GO:0043154', 'GO:2001240']
IFNA2	cluster_61	['GO:0043330']
MAPK3	cluster_61	['GO:0043330']
CCNE1	cluster_62	['GO:0000723']
HUS1	cluster_62	['GO:0000723', 'GO:0031573']
MUS81	cluster_62	['GO:0031573']
PRKDC	cluster_62	['GO:0000723']
ADAM19	cluster_63	['GO:0004222']
CBLC	cluster_63	['GO:0016567']
COL3A1	cluster_63	['GO:0035025']
COPS5	cluster_63	['GO:0004222']
EFNA1	cluster_63	['GO:0043410', 'GO:0050730']
F2R	cluster_63	['GO:0035025', 'GO:0043410']
FBXO7	cluster_63	['GO:0016567']
FBXW8	cluster_63	['GO:0016567']
FYN	cluster_63	['GO:0050730', 'GO:2001240']
IL11	cluster_63	['GO:0043410']
IL1A	cluster_63	['GO:2001240']
IL23A	cluster_63	['GO:0032740']
IL7	cluster_63	['GO:0050730', 'GO:2001240']
KLHL3	cluster_63	['GO:0016567', 'GO:0070936']
LPAR1	cluster_63	['GO:0035025', 'GO:0043410']
LY9	cluster_63	['GO:0032740']
MMP24	cluster_63	['GO:0004222']
NMNAT1	cluster_63	['GO:0043410']
OSM	cluster_63	['GO:0032740', 'GO:0043410']
RNF146	cluster_63	['GO:0070936']
RNF24	cluster_63	['GO:0016567']
SKP1	cluster_63	['GO:0016567', 'GO:0070936']
STRADB	cluster_63	['GO:2001240']
THOP1	cluster_63	['GO:0004222']
TRIM24	cluster_63	['GO:0016567']
UBE2D2	cluster_63	['GO:0016567', 'GO:0070936']
XIAP	cluster_63	['GO:0016567']
ATG14	cluster_64	['GO:0000045', 'GO:0001934', 'GO:0005776']
EDNRB	cluster_64	['GO:0001934']
FGF3	cluster_64	['GO:0001934']
TP53INP2	cluster_64	['GO:0000045', 'GO:0005776']
BRCA1	cluster_65	['GO:0010575']
FLT4	cluster_65	['GO:0010575']
MAPK8	cluster_66	['GO:0018107']
RHOQ	cluster_66	['GO:0051491']
TGFBR1	cluster_66	['GO:0018107', 'GO:0051491']
AQP4	cluster_67	['GO:0010008', 'GO:0051289']
CRTC3	cluster_67	['GO:0051289']
LAMTOR3	cluster_67	['GO:0000186', 'GO:0010008']
MAP3K6	cluster_67	['GO:0000186']
CETN1	cluster_68	['GO:0005814']
SCAMP1	cluster_68	['GO:0032588']
SDCCAG8	cluster_68	['GO:0005814']
VAMP4	cluster_68	['GO:0032588']
BRCA2	cluster_69	['GO:0010332', 'GO:0043966', 'GO:0043967']
DMAP1	cluster_69	['GO:0043967']
IRF4	cluster_69	['GO:0043966', 'GO:0043967']
KAT6B	cluster_69	['GO:0043966']
LIG4	cluster_69	['GO:0010332']
PTPRC	cluster_69	['GO:0010332']
ARF6	cluster_7	['GO:0031901']
CLCN3	cluster_7	['GO:0031901']
HLA-B	cluster_7	['GO:0031901']
NUP88	cluster_7	['GO:0075733']
STEAP4	cluster_7	['GO:0031901']
TICAM2	cluster_7	['GO:0031901']
TPR	cluster_7	['GO:0075733']
VPS28	cluster_7	['GO:0075733']
EPO	cluster_71	['GO:0045666']
GABARAP	cluster_71	['GO:0000045']
TRPC6	cluster_71	['GO:0045666']
WIPI2	cluster_71	['GO:0000045']
BCR	cluster_72	['GO:0005085', 'GO:0051056']
ERRFI1	cluster_72	['GO:0043547']
PKP4	cluster_72	['GO:0043547']
TRIO	cluster_72	['GO:0005085', 'GO:0051056']
VAV1	cluster_72	['GO:0005085', 'GO:0043547', 'GO:0051056']
BAD	cluster_73	['GO:0033574']
CALM2	cluster_73	['GO:0043539']
DBF4	cluster_73	['GO:0043539']
DUSP1	cluster_73	['GO:0033574', 'GO:0043409']
DUSP3	cluster_73	['GO:0043409']
NQO1	cluster_73	['GO:0033574']
P2RX7	cluster_73	['GO:0043409']
TCL1B	cluster_73	['GO:0043539']
PTK6	cluster_74	['GO:0010976', 'GO:0071300']
RET	cluster_74	['GO:0010976', 'GO:0071300']
BCL2	cluster_75	['GO:0030308']
HNF4A	cluster_75	['GO:0030308']
RBBP7	cluster_75	['GO:0030308']
SH3BP4	cluster_75	['GO:0030308']
EFNB3	cluster_76	['GO:0050771']
MCF2	cluster_76	['GO:0050771']
PTCH1	cluster_76	['GO:0060170']
SHANK2	cluster_76	['GO:0060170']
CDK4	cluster_79	['GO:0010971']
HIF1A	cluster_79	['GO:0032007']
TBC1D7	cluster_79	['GO:0032007']
WNT10B	cluster_79	['GO:0010971']
ATG9A	cluster_8	['GO:0031902']
HLA-E	cluster_8	['GO:0012507', 'GO:0042288']
ISG15	cluster_8	['GO:0019985']
SLC11A1	cluster_8	['GO:0031902']
STX5	cluster_8	['GO:0012507', 'GO:0033116']
TMED7	cluster_8	['GO:0033116']
VCP	cluster_8	['GO:0019985', 'GO:0042288']
CEBPB	cluster_81	['GO:0045669']
ERCC3	cluster_81	['GO:0006296', 'GO:0006368', 'GO:0009411', 'GO:0033683']
IFITM1	cluster_81	['GO:0045669']
MLLT1	cluster_81	['GO:0006368']
POLD1	cluster_81	['GO:0006296', 'GO:0009411', 'GO:0033683']
GDF2	cluster_82	['GO:0032924']
INHBA	cluster_82	['GO:0032924']
GTF2H1	cluster_83	['GO:0006366']
THRA	cluster_83	['GO:0006366']
CAPN3	cluster_84	['GO:0051281']
CD19	cluster_84	['GO:0051281']
IL4	cluster_84	['GO:0001774']
ITGAM	cluster_84	['GO:0001774']
AMFR	cluster_85	['GO:0090090']
APC	cluster_85	['GO:0007026', 'GO:0090090']
ARHGEF2	cluster_85	['GO:0007026']
CCL20	cluster_85	['GO:2000406']
GLI1	cluster_85	['GO:0090090']
GLI3	cluster_85	['GO:0090090']
PYCARD	cluster_85	['GO:2000406']
SFRP2	cluster_85	['GO:0090090']
TLE1	cluster_85	['GO:0090090']
LILRB1	cluster_87	['GO:0045786']
MEF2A	cluster_87	['GO:0006351']
PPP1R1B	cluster_87	['GO:0006351']
RUNX3	cluster_87	['GO:0045786']
ATRX	cluster_88	['GO:0000228']
EPHB1	cluster_88	['GO:0031901']
EXOSC9	cluster_88	['GO:0000228', 'GO:0006364']
HLA-G	cluster_88	['GO:0031901']
ISG20	cluster_88	['GO:0006364']
LEPR	cluster_88	['GO:0030217']
PREX1	cluster_88	['GO:0030217']
SH3GL3	cluster_88	['GO:0031901']
ZAP70	cluster_88	['GO:0030217']
ARRB1	cluster_9	['GO:0032715']
ENPP2	cluster_9	['GO:0090305']
IL37	cluster_9	['GO:0032715', 'GO:0071345']
PTPN14	cluster_9	['GO:0071345']
WRN	cluster_9	['GO:0090305']
MTA1	cluster_90	['GO:0006302']
NOTCH1	cluster_90	['GO:0003222', 'GO:0007221', 'GO:0030279']
NRG1	cluster_90	['GO:0003222']
RBPJ	cluster_90	['GO:0003222', 'GO:0007221', 'GO:0030279']
RNF8	cluster_90	['GO:0006302']
TDP2	cluster_90	['GO:0006302']
WWC1	cluster_90	['GO:0007221']
TRIM32	cluster_92	['GO:0001894']
WWTR1	cluster_92	['GO:0001894']
ITPR2	cluster_93	['GO:0050796']
NEUROD1	cluster_93	['GO:0050796', 'GO:2000679']
NRXN1	cluster_93	['GO:0051965']
PARP1	cluster_93	['GO:2000679']
UBE2V2	cluster_93	['GO:0051965']
EVL	cluster_94	['GO:0007015']
TMSB4X	cluster_94	['GO:0007015']
HSP90B1	cluster_95	['GO:0043666']
PPP2R5A	cluster_95	['GO:0043666']
BMP10	cluster_96	['GO:0005179']
GNRH2	cluster_96	['GO:0005179']
GUCA2A	cluster_96	['GO:0005179']
POMC	cluster_96	['GO:0005179']
PTH	cluster_96	['GO:0005179']
CNTN6	cluster_98	['GO:0007156']
PKD1	cluster_98	['GO:0007156']
ROBO1	cluster_98	['GO:0007156']
BRSK1	cluster_99	['GO:0018105']
CLK1	cluster_99	['GO:0018105']
HIPK4	cluster_99	['GO:0018105']
MAP2K2	cluster_99	['GO:0070371']
PRKCQ	cluster_99	['GO:0018105']
TF	cluster_99	['GO:0070371']
