	Module	Term	Fishers_pvalue_x	Fishers_pvalue_y
0	cluster_161	GO:0030175	0.0020225598844870484	0.0022018412482668545
1	cluster_161	GO:0032465	0.007340919429873062	0.007827231998963567
2	cluster_164	GO:0005741	0.007454926009086169	0.00302586554157171
3	cluster_164	GO:0043276	0.008671461260976288	
4	cluster_164	GO:0045453	0.00043836437836229885	0.0008487429161457139
5	cluster_164	GO:0060444	0.008671461260976288	
6	cluster_174	GO:0050679	0.0058412460204091245	0.0058412460204091245
7	cluster_185	GO:0016241	0.00733871610132173	
8	cluster_185	GO:0016485	0.005831820949877583	0.009492688700195057
9	cluster_185	GO:0030216	0.004486026900611861	0.007321778100078573
10	cluster_185	GO:0055038	0.00733871610132173	
11	cluster_185	GO:0070507	0.0022973786126441664	0.003769954813174538
12	cluster_185	GO:0072659	0.0018763950836108135	0.00029468959205943365
13	cluster_25	GO:0007346	0.0074873723597801084	
14	cluster_25	GO:0032728	0.005714070664184255	
15	cluster_25	GO:0035666	0.0074873723597801084	
16	cluster_29	GO:0001656	0.0029483725397447956	0.0036646402791446864
17	cluster_29	GO:0008630	0.003012586771326227	0.0039681812518412565
18	cluster_29	GO:0048536	0.00032958239025294517	0.000441389734251935
19	cluster_29	GO:0071897	0.0029483725397447956	0.0036646402791446864
20	cluster_30	GO:0007223	0.004461937609154229	0.004461937609154229
21	cluster_30	GO:0030136	0.0035958672789653348	0.0035958672789653348
22	cluster_30	GO:0043280	0.007963245896235894	0.007963245896235894
23	cluster_36	GO:0000209	0.0029099879751849846	0.0029099879751849846
24	cluster_36	GO:0006511	0.00025341494218884825	0.00025341494218884825
25	cluster_36	GO:0016567	0.008487694837390005	0.008487694837390005
26	cluster_36	GO:0016579	0.004208379843731796	0.004208379843731796
27	cluster_36	GO:0031145	0.00662539699013516	0.00662539699013516
28	cluster_36	GO:0031398	0.007914371124657643	0.007914371124657643
29	cluster_36	GO:0043687	0.004829952607230762	0.004829952607230762
30	cluster_36	GO:1901990	0.006380223497177594	0.006380223497177594
31	cluster_49	GO:0005109	0.005532222008023742	
32	cluster_49	GO:0031267	0.00629638427684146	
33	cluster_49	GO:1904886	0.009310720451649488	
34	cluster_73	GO:0033574	0.008515971213293113	
35	cluster_73	GO:0043409	0.0032994736031066838	0.0062969934344315505
36	cluster_73	GO:0043539	0.008515971213293113	
37	cluster_75	GO:0030308	0.006722320469122949	0.006722320469122949
38	cluster_99	GO:0018105	0.006975205316192255	0.006975205316192255
39	cluster_99	GO:0070371	0.004183159817392711	0.004183159817392711
40	cluster_152	GO:0034199		0.0051151193517955315
41	cluster_152	GO:0034704		0.00581813509149143
42	cluster_152	GO:0071377		0.009038842642077091
43	cluster_161	GO:2001234		0.005746509685343685
44	cluster_164	GO:0034198		0.0053620321085117596
45	cluster_164	GO:0038095		0.00826025995338496
46	cluster_164	GO:0071345		0.0036984860561270483
47	cluster_164	GO:1900740		0.007309149097835594
48	cluster_164	GO:2000811		0.0015374863869563257
49	cluster_164	GO:2001244		0.008039175701910067
50	cluster_185	GO:0006417		0.004974824349788315
51	cluster_185	GO:0016239		0.004555931257191028
52	cluster_185	GO:0032007		0.0034032046202838416
53	cluster_185	GO:0090630		0.0015918887741675617
54	cluster_25	GO:0005884		0.00640346493010772
55	cluster_25	GO:0045453		0.004022139140124531
56	cluster_25	GO:0048010		0.009135675460276575
57	cluster_29	GO:0005876		0.007196455145477777
58	cluster_29	GO:0006977		0.005192243013798038
59	cluster_29	GO:0018107		0.0046067309364838695
60	cluster_49	GO:0038128		0.006028326877867071
61	cluster_49	GO:0043406		0.005060614939352528
62	cluster_73	GO:0007268		0.00918925107528752
63	cluster_73	GO:0018105		0.005690058159299559
64	cluster_73	GO:0046827		0.0073598160598461766
