HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:54008	MIR10398		113218489.0
HGNC:54009	MIR10399		113218503.0
HGNC:54010	MIR10400		113218512.0
HGNC:54012	MIR10522		113218490.0
HGNC:54013	MIR10523		113218510.0
HGNC:54014	MIR10524		113218491.0
HGNC:54015	MIR10525		113218504.0
HGNC:54016	MIR10526		113218492.0
HGNC:54017	MIR10527		113218505.0
HGNC:54018	MIR11181		113218493.0
HGNC:54019	MIR11399		113218506.0
HGNC:54160	MIR11400		113839523.0
HGNC:54020	MIR11401		113218509.0
HGNC:54021	MIR12113		113218507.0
HGNC:54022	MIR12114		113218480.0
HGNC:54023	MIR12115		113219450.0
HGNC:54024	MIR12116		113219451.0
HGNC:54025	MIR12117		113219452.0
HGNC:54026	MIR12118		113219469.0
HGNC:54027	MIR12119		113219453.0
HGNC:54028	MIR12120		113219468.0
HGNC:54029	MIR12121		113219454.0
HGNC:54030	MIR12122		113219455.0
HGNC:54031	MIR12123		113219456.0
HGNC:54032	MIR12124		113219457.0
HGNC:54033	MIR12125		113219458.0
HGNC:54034	MIR12126		113219459.0
HGNC:54035	MIR12127		113219470.0
HGNC:54036	MIR12128		113219463.0
HGNC:54037	MIR12129		113219460.0
HGNC:54038	MIR12130		113219464.0
HGNC:54039	MIR12131		113219461.0
HGNC:54040	MIR12132		113219465.0
HGNC:54041	MIR12133		113219466.0
HGNC:54042	MIR12135		113219462.0
HGNC:54043	MIR12136		113219467.0
HGNC:31476	MIRLET7A1		406881.0
HGNC:53970	MIRLET7A1HG		112903833.0
HGNC:31477	MIRLET7A2		406882.0
HGNC:31478	MIRLET7A3		406883.0
HGNC:31479	MIRLET7B		406884.0
HGNC:37189	MIRLET7BHG		400931.0
HGNC:31480	MIRLET7C		406885.0
HGNC:31481	MIRLET7D		406886.0
HGNC:31482	MIRLET7E		406887.0
HGNC:31483	MIRLET7F1		406888.0
HGNC:31484	MIRLET7F2		406889.0
HGNC:31485	MIRLET7G		406890.0
HGNC:31486	MIRLET7I		406891.0
